filename,device_model,angle,has_person,clean_background,recommended_slot,grade,status,notes
sunrise_dmu400.jpg,Sun King DMU 400,整机侧视,否,否,—,—,EXCLUDE,五轴/DMU/Sunrise 硬排除
WH-540.jpg,Wanghui XH-540,整机前侧,否,否,equipment-detail,B,KEEP,黄机身，警告告示/纸张杂乱，需 PS 精修
WH-540-1.jpg,Wanghui XH-540,整机侧视,是,否,equipment-detail,C,KEEP,有人物入镜，纸张杂乱
图片1.png,HANMER LU320,整机前侧,否,否,—,—,EXCLUDE,非白名单机型
微信图片_20260808143457_76_331.jpg,Sun King DMU 400,铭牌特写,否,是,—,—,EXCLUDE,五轴铭牌 CNC-5AXIS/DMU-400
微信图片_20260808143457_77_331.jpg,Sun King DMU 400,整机侧视（门开）,是,否,—,—,EXCLUDE,五轴整机 + 人物
微信图片_20260809113553_187_331.jpg,5-axis rotary table,转台/夹具特写,否,是,—,—,EXCLUDE,五轴转台场景
微信图片_20260809114353_195_331.jpg,machined aluminum mold,零件顶侧特写,否,是,product/process,A,KEEP,A 级，适合产品/工艺展示
微信图片_20260808143458_78_331.jpg,Sun King DMU 400,整机侧视（门开+人物）,是,否,—,—,EXCLUDE,五轴 Sun King DMU 400 + 人物
微信图片_20260808143459_79_331.jpg,Sun King DMU 400,整机侧视（门开+人物背影）,是,否,—,—,EXCLUDE,五轴 Sun King DMU 400 + 人物背影
微信图片_20260808143500_80_331.jpg,JIAFU JF-500,整机前侧,否,否,equipment-detail,B,KEEP,佳富 JF-500 整机，警告告示/纸张杂乱，需 PS
微信图片_20260808143500_81_331.jpg,JIAFU JF-500,铭牌特写,否,是,equipment-detail,A,KEEP,佳富 JF-500 铭牌，A 级细节图
微信图片_20260808143501_82_331.jpg,JIAFU JF series (likely JF-600),整机前侧（门开/刀库）,否,否,equipment-detail,B,KEEP,佳富 JF 系列整机，门开展示刀库，背景杂乱
微信图片_20260808143502_83_331.jpg,JIAFU JF-600,铭牌特写,否,是,equipment-detail,A,KEEP,佳富 JF-600 铭牌，A 级细节图
微信图片_20260808143502_84_331.jpg,JIAFU JF series,整机前侧（门关）,是,否,equipment-detail,C,KEEP,佳富 JF 系列整机，右侧有人物，纸张杂乱
微信图片_20260808143503_85_331.jpg,JIAFU JF-500,整机前侧（人物开门）,是,否,equipment-detail,C,KEEP,佳富 JF-500 整机，人物背影开门，需 PS/去人
微信图片_20260808143504_86_331.jpg,CATO CT-80,整机前侧,否,否,equipment-detail,B,KEEP,巨冈 CT-80 整机，红色机身，警告告示/纸张/工具杂乱，需 PS
微信图片_20260808143504_87_331.jpg,CATO CT-80,整机前侧（略偏）,否,否,equipment-detail,B,KEEP,巨冈 CT-80 整机，与 86 视角接近（疑似重复），需 PS
微信图片_20260808143505_88_331.jpg,CATO CT-80,铭牌特写,否,是,equipment-detail,A,KEEP,巨冈 CT-80 铭牌，A 级细节图
微信图片_20260808143506_89_331.jpg,Wanghui XH-540,铭牌特写,否,是,equipment-detail,A,KEEP,望辉 XH-540 铭牌（ scratched，但无 1540 变体），A 级
微信图片_20260808143506_90_331.jpg,Wanghui XH-540,铭牌特写,否,是,equipment-detail,B,KEEP,望辉/鑫腾辉铭牌，型号区疑似 1540 字样，存在型号风险，不作为主铭牌
微信图片_20260808143507_91_331.jpg,XINTENGHUI XTH-T540,整机前侧,否,否,equipment-hero,B,KEEP,鑫腾辉 XTH-T540 整机（黄机身+标识牌），纸张杂乱，需 PS 可做 hero
微信图片_20260808143508_92_331.jpg,Hong Jin Shun HJS-T5,侧面型号标贴,否,是,equipment-detail,A,KEEP,鸿金顺 HJS-T5 侧面型号贴，A 级
微信图片_20260808143509_93_331.jpg,Hong Jin Shun HJS-T5,机身喷字特写,否,是,equipment-detail,A,KEEP,鸿金顺 HJS-T5 机身喷字，A 级
微信图片_20260808143510_94_331.jpg,Hong Jin Shun HJS-T5,整机前侧（门开/刀库）,否,否,equipment-detail,B,KEEP,鸿金顺 HJS-T5 整机，门开展示刀库，侧面有纸张，需 PS
微信图片_20260808143510_95_331.jpg,Hong Jin Shun HJS-T5,整机前侧（门开/刀库，略偏）,否,否,equipment-detail,B,KEEP,鸿金顺 HJS-T5，与 94 视角极近（疑似重复）
微信图片_20260808143511_96_331.jpg,Qiao Hong QH-T6,铭牌特写,否,是,equipment-detail,A,KEEP,乔鸿 QH-T6 铭牌，A 级细节图
微信图片_20260808143512_97_331.jpg,Qiao Hong QH-T6,整机前侧（门开/刀库）,否,否,equipment-detail,B,KEEP,乔鸿 QH-T6 整机，门开展示刀库，纸张杂乱
微信图片_20260808143512_98_331.jpg,Qiao Hong QH-T6,整机前侧（门开/刀库，略偏）,否,否,equipment-detail,B,KEEP,乔鸿 QH-T6，与 97 视角极近（疑似重复）
微信图片_20260808143513_99_331.jpg,XINTENGHUI XTH-T540,整机前侧（门关/屏幕亮）,否,否,equipment-hero,B,KEEP,鑫腾辉 XTH-T540 整机，屏幕亮，纸张杂乱，需 PS 可做 hero
微信图片_20260808143514_100_331.jpg,Wanghui XH-540,铭牌特写（部分被管遮挡）,否,是,equipment-detail,B,KEEP,望辉 XH-540 铭牌，有管遮挡且 scratched，不如 89 清晰
微信图片_20260808143515_102_331.jpg,Taikan T-700SE,铭牌特写,否,是,—,—,EXCLUDE,台群 Taikan T-700SE 铭牌，台群硬排除
微信图片_20260808143516_103_331.jpg,Taikan T-700SE,铭牌特写,否,是,—,—,EXCLUDE,台群 T-700SE 铭牌，台群硬排除
微信图片_20260808143517_104_331.jpg,Taikan T-V1270S,整机前侧（门开）,否,否,—,—,EXCLUDE,台群 T-V1270S 整机，台群硬排除
微信图片_20260808143517_105_331.jpg,Taikan T-V1270S,整机前侧（门开，略偏）,否,否,—,—,EXCLUDE,台群 T-V1270S 整机，与 104 视角极近（疑似重复），台群硬排除
微信图片_20260808143518_106_331.jpg,Taikan T-V1270S,整机前侧（门开/刀库）,否,否,—,—,EXCLUDE,台群 T-V1270S 整机，台群硬排除
微信图片_20260808143519_107_331.jpg,Taikan T-V1270S,整机前侧（门开/刀库，略偏）,否,否,—,—,EXCLUDE,台群 T-V1270S 整机，与 106 视角极近，台群硬排除
微信图片_20260808143520_108_331.jpg,Taikan T-V1270S,整机前侧（门关/偏左）,否,否,—,—,EXCLUDE,台群 T-V1270S 整机，台群硬排除
